Order date,Continued date,ITC case No.,DOC case No.,AD/CVD,Review Sequence Group No.,Product Group,Product,Country,Column2,Column3,Fed Reg,Pub date,Link,Column1,Column12
10/21/1977,04/14/2016,AA-167,A-475-059,A,13,CH,Pressure sensitive plastic tape,Italy,,,81 FR 22048,2016/04/14,https://www.gpo.gov/fdsys/pkg/FR-2016-04-14/pdf/2016-08630.pdf,,
12/08/1978,04/23/2015,AA-188,A-588-068,A,12,ISO,Prestressed concrete steel wire strand,Japan,,,80 FR 22708,2015/04/23,http://www.gpo.gov/fdsys/pkg/FR-2015-04-23/pdf/2015-09528.pdf,,
01/31/1984,03/18/2016,A-125,A-570-001,A,35,CH,Potassium permanganate,China,,,81 FR 14835,2016/03/18,https://www.gpo.gov/fdsys/pkg/FR-2016-03-18/pdf/2016-06172.pdf,,
03/22/1984,09/22/2015,A-130,A-570-002,A,16,CH,Chloropicrin,China,,,80 FR 57149,2015/09/22,http://www.gpo.gov/fdsys/pkg/FR-2015-09-22/pdf/2015-24095.pdf,,
05/07/1984,02/07/2018,A-132,A-583-008,A,72,ISP,Small diameter carbon steel pipe ,Taiwan,,,83 FR 5402,2018/02/07,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
10/17/1984,11/05/2015,A-149,A-570-007,A,14,CH,Barium chloride,China,,,80 FR 68511,2015/11/05,http://www.gpo.gov/fdsys/pkg/FR-2015-11-05/pdf/2015-28250.pdf,,
03/05/1986,01/06/2017,A-263,A-122-503,A,32,ISO,Iron construction castings,Canada,,,82 FR 1699,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00028.pdf,,
03/07/1986,02/07/2018,C-253,C-489-502,C,72,ISP,Welded carbon steel pipe ,Turkey,,,83 FR 5402,2012/07/17,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
03/11/1986,02/07/2018,A-252,A-549-502,A,72,ISP,Welded carbon steel pipe,Thailand,,,83 FR 5402,2012/07/17,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
03/11/1986,,C-None,C-507-501,C,  ,AG,Raw in-shell pistachios,Iran,,,,,,,
05/09/1986,01/06/2017,A-262,A-351-503,A,32,ISO,Iron construction castings,Brazil,,,82 FR 1699,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00028.pdf,,
05/09/1986,01/06/2017,A-265,A-570-502,A,32,ISO,Iron construction castings,China,,,82 FR 1699,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00028.pdf,,
05/12/1986,02/07/2018,A-271,A-533-502,A,72,ISP,Welded carbon steel pipe,India,,,83 FR 5402,2012/07/17,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
05/15/1986,02/07/2018,A-273,A-489-501,A,72,ISP,Welded carbon steel pipe ,Turkey,,,83 FR 5402,2012/07/17,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
05/15/1986,01/06/2017,C-249,C-351-504,C,32,ISO,Heavy iron construction castings,Brazil,,,82 FR 1699,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00028.pdf,,
07/17/1986,07/13/2017,A-287,A-507-502,A,50,AG,Raw in-shell pistachios,Iran,,,82 FR 32325,2017/07/13,https://www.gpo.gov/fdsys/pkg/FR-2017-07-13/pdf/2017-14707.pdf,,
08/28/1986,05/26/2016,A-282,A-570-504,A,29,CH,Petroleum wax candles,China,,,81 FR 33466,2016/05/26,https://www.gpo.gov/fdsys/pkg/FR-2016-05-26/pdf/2016-12542.pdf,,
10/07/1986,,C-None,C-507-601,C,  ,CH,Roasted in-shell pistachios,Iran,,,,,,,
12/02/1986,08/11/2016,A-298,A-570-506,A,48,ISO,Porcelain-on-steel cooking ware,China,,,81 FR 53120,2016/08/11,https://www.gpo.gov/fdsys/pkg/FR-2016-08-11/pdf/2016-19143.pdf,,
